strain,stress_MPa
0.0080580618,520.856756387481
0.0080683008,520.9745521620891
0.0080785397,521.1159118280793
0.0080887787,521.2337312849904
0.0080887787,521.4457668369254
0.0080990177,521.5871186088148
0.0080990177,521.7520342720861
0.0081194956,521.8933860439755
0.0081194956,522.05832538955
0.0081194956,522.1996850555402
0.0081297345,522.3645928247107
0.0081399735,522.5295084879822
0.0081399735,522.6708602598716
0.0081604514,522.812212031761
0.0081706904,522.9064833854916
0.0081604514,523.1185110433255
0.0081706904,523.2363068179336
0.0081706904,523.4247784784864
0.0081911683,523.495454364431
0.0081911683,523.7310459136472
0.0081911683,523.8017217995919
0.0082014073,523.9901934601446
0.0082218852,524.1080208111566
0.0082116462,524.2964924717094
0.0082423631,524.3907559313391
0.0082423631,524.5791960154879
0.0082526021,524.6734673692187
0.00827308,524.8854950270527
0.0082526021,525.0032908016608
0.008262841,525.1682301472351
0.00827308,525.2389139272807
0.008283318,525.4273540114297
0.008293557,525.5451497860377
0.008293557,525.7100891316121
0.0083037959,525.804297332535
0.0083140349,525.9692366781096
0.0083140349,526.0870324527176
0.0083447518,526.2755356896741
0.0083447518,526.3226240019337
0.0083549907,526.4875633475082
0.0083447518,526.6524474343759
0.0083652297,526.7702747853878
0.0083549907,526.8645066686137
0.0083652297,527.0294223318851
0.0083754687,527.1707741037745
